iter	Passed	Remaining
0	138	138069
1	139	69502
2	140	46640
3	141	35211
4	142	28441
5	144	23860
6	145	20610
7	147	18268
8	148	16364
9	150	14871
10	151	13607
11	152	12550
12	153	11674
13	155	10921
14	156	10307
15	159	9828
16	160	9303
17	162	8838
18	163	8442
19	164	8067
20	165	7723
21	167	7457
22	169	7191
23	172	7022
24	173	6780
25	175	6562
26	176	6353
27	177	6162
28	179	5997
29	181	5852
30	183	5744
31	184	5594
32	186	5462
33	187	5329
34	188	5203
35	189	5081
36	191	4979
37	193	4886
38	196	4829
39	197	4730
40	198	4636
41	199	4552
42	200	4466
43	201	4383
44	204	4331
45	205	4271
46	208	4227
47	209	4156
48	211	4095
49	212	4030
50	213	3967
51	214	3913
52	216	3871
53	219	3853
54	221	3798
55	222	3744
56	223	3696
57	224	3648
58	225	3600
59	228	3580
60	230	3551
61	232	3517
62	233	3474
63	234	3432
64	235	3394
65	237	3355
66	238	3315
67	239	3288
68	241	3261
69	244	3252
70	246	3219
71	247	3184
72	248	3150
73	249	3121
74	251	3103
75	257	3134
76	259	3107
77	260	3077
78	261	3048
79	263	3033
80	264	3006
81	267	2995
82	271	2995
83	272	2972
84	274	2953
85	275	2928
86	276	2898
87	277	2873
88	281	2879
89	283	2868
90	285	2855
91	287	2834
92	288	2815
93	290	2797
94	292	2789
95	295	2786
96	297	2767
97	299	2755
98	300	2737
99	302	2719
100	304	2706
101	304	2683
102	306	2670
103	308	2655
104	312	2661
105	315	2658
106	325	2715
107	327	2706
108	332	2717
109	335	2712
110	336	2697
111	338	2681
112	339	2665
113	341	2650
114	344	2648
115	347	2650
116	349	2635
117	350	2621
118	351	2603
119	352	2586
120	355	2581
121	357	2571
122	359	2559
123	360	2544
124	361	2528
125	362	2515
126	363	2501
127	364	2484
128	366	2476
129	368	2466
130	371	2466
131	373	2452
132	374	2440
133	375	2428
134	376	2415
135	381	2424
136	383	2416
137	385	2405
138	386	2395
139	390	2397
140	393	2395
141	394	2384
142	398	2386
143	402	2395
144	404	2384
145	405	2373
146	407	2366
147	409	2357
148	414	2366
149	415	2356
150	417	2344
151	418	2334
152	420	2325
153	421	2315
154	427	2329
155	429	2321
156	430	2310
157	431	2300
158	433	2294
159	441	2319
160	444	2318
161	446	2309
162	448	2301
163	450	2297
164	452	2290
165	453	2280
166	455	2270
167	457	2265
168	460	2262
169	463	2265
170	465	2258
171	467	2251
172	471	2254
173	477	2267
174	479	2261
175	481	2252
176	482	2242
177	485	2241
178	487	2237
179	489	2229
180	490	2218
181	491	2209
182	493	2204
183	495	2195
184	497	2193
185	500	2192
186	503	2189
187	505	2182
188	507	2176
189	510	2177
190	514	2177
191	515	2168
192	516	2160
193	520	2162
194	523	2161
195	525	2154
196	526	2146
197	528	2141
198	530	2134
199	533	2135
200	536	2131
201	537	2124
202	538	2115
203	540	2108
204	541	2100
205	545	2101
206	547	2098
207	549	2090
208	550	2084
209	552	2078
210	555	2075
211	562	2092
212	564	2084
213	565	2077
214	567	2070
215	571	2075
216	574	2073
217	576	2066
218	577	2060
219	578	2052
220	581	2048
221	584	2048
222	586	2041
223	587	2035
224	590	2034
225	592	2027
226	595	2027
227	596	2020
228	598	2015
229	600	2008
230	601	2001
231	603	1996
232	606	1995
233	614	2012
234	616	2006
235	619	2005
236	623	2008
237	646	2069
238	648	2064
239	650	2059
240	653	2057
241	655	2054
242	658	2050
243	659	2044
244	661	2037
245	663	2035
246	668	2038
247	670	2032
248	671	2025
249	673	2019
250	674	2012
251	677	2010
252	682	2015
253	684	2009
254	685	2003
255	687	1998
256	698	2019
257	699	2012
258	701	2006
259	703	2002
260	706	2001
261	709	1998
262	711	1992
263	712	1985
264	714	1982
265	721	1990
266	723	1986
267	724	1980
268	726	1973
269	728	1968
270	730	1965
271	733	1963
272	736	1961
273	738	1956
274	741	1953
275	746	1958
276	748	1954
277	750	1949
278	752	1943
279	754	1941
280	757	1939
281	759	1934
282	761	1928
283	762	1922
284	764	1918
285	766	1914
286	769	1911
287	771	1906
288	772	1901
289	774	1896
290	780	1901
291	782	1896
292	783	1891
293	785	1887
294	788	1883
295	792	1883
296	794	1879
297	795	1874
298	797	1869
299	802	1871
300	804	1867
301	806	1864
302	808	1859
303	816	1869
304	818	1865
305	819	1859
306	824	1861
307	826	1856
308	827	1851
309	829	1847
310	831	1842
311	834	1840
312	837	1838
313	839	1833
314	842	1831
315	843	1825
316	849	1830
317	851	1826
318	853	1821
319	855	1816
320	856	1812
321	859	1809
322	861	1805
323	863	1800
324	864	1795
325	866	1792
326	868	1788
327	873	1789
328	874	1784
329	877	1780
330	878	1775
331	881	1774
332	885	1773
333	886	1768
334	888	1763
335	889	1758
336	892	1755
337	895	1754
338	897	1749
339	898	1744
340	899	1739
341	903	1738
342	907	1738
343	909	1733
344	910	1729
345	912	1724
346	913	1718
347	915	1714
348	923	1722
349	925	1718
350	926	1713
351	931	1714
352	933	1710
353	934	1705
354	936	1700
355	938	1697
356	941	1694
357	943	1692
358	945	1687
359	948	1685
360	949	1680
361	952	1679
362	955	1677
363	957	1673
364	959	1669
365	961	1665
366	963	1662
367	969	1664
368	970	1660
369	972	1655
370	973	1650
371	975	1646
372	977	1643
373	980	1640
374	981	1636
375	983	1632
376	985	1628
377	986	1623
378	989	1620
379	991	1618
380	993	1613
381	994	1609
382	996	1605
383	997	1600
384	1000	1597
385	1005	1599
386	1007	1596
387	1009	1591
388	1010	1587
389	1013	1584
390	1018	1586
391	1020	1582
392	1021	1578
393	1022	1573
394	1025	1570
395	1030	1571
396	1032	1568
397	1033	1563
398	1035	1559
399	1037	1555
400	1039	1553
401	1043	1552
402	1045	1548
403	1047	1544
404	1049	1542
405	1055	1543
406	1057	1540
407	1058	1535
408	1060	1532
409	1061	1527
410	1064	1525
411	1066	1522
412	1067	1517
413	1070	1514
414	1071	1510
415	1073	1507
416	1078	1508
417	1080	1504
418	1082	1500
419	1083	1496
420	1085	1493
421	1088	1490
422	1092	1489
423	1093	1485
424	1095	1482
425	1097	1478
426	1100	1476
427	1103	1474
428	1104	1470
429	1106	1466
430	1107	1462
431	1109	1458
432	1112	1456
433	1118	1458
434	1120	1455
435	1121	1450
436	1122	1446
437	1125	1444
438	1130	1444
439	1131	1440
440	1133	1436
441	1134	1432
442	1136	1428
443	1137	1424
444	1143	1425
445	1145	1422
446	1146	1418
447	1147	1414
448	1149	1410
449	1153	1409
450	1156	1407
451	1157	1403
452	1159	1400
453	1161	1396
454	1164	1394
455	1169	1395
456	1171	1392
457	1172	1388
458	1174	1384
459	1178	1382
460	1181	1381
461	1182	1377
462	1184	1373
463	1186	1370
464	1189	1369
465	1194	1368
466	1196	1365
467	1197	1361
468	1198	1357
469	1200	1354
470	1203	1351
471	1206	1349
472	1208	1346
473	1210	1342
474	1211	1338
475	1212	1334
476	1221	1339
477	1222	1335
478	1224	1331
479	1225	1327
480	1227	1323
481	1229	1321
482	1232	1319
483	1233	1315
484	1235	1311
485	1236	1308
486	1238	1304
487	1239	1300
488	1244	1300
489	1246	1297
490	1248	1294
491	1258	1299
492	1260	1296
493	1262	1292
494	1265	1290
495	1267	1287
496	1270	1285
497	1271	1281
498	1272	1277
499	1275	1275
500	1277	1272
501	1280	1270
502	1281	1266
503	1283	1262
504	1284	1259
505	1285	1255
506	1287	1251
507	1291	1250
508	1294	1248
509	1295	1244
510	1296	1241
511	1298	1237
512	1300	1235
513	1303	1232
514	1304	1228
515	1306	1225
516	1307	1221
517	1309	1218
518	1312	1216
519	1317	1215
520	1318	1212
521	1320	1209
522	1324	1208
523	1329	1207
524	1330	1203
525	1331	1200
526	1333	1196
527	1334	1192
528	1337	1191
529	1339	1187
530	1340	1183
531	1341	1180
532	1343	1177
533	1344	1173
534	1346	1170
535	1350	1168
536	1352	1166
537	1353	1162
538	1354	1158
539	1356	1155
540	1359	1153
541	1361	1150
542	1362	1147
543	1364	1143
544	1365	1139
545	1367	1137
546	1370	1134
547	1371	1131
548	1372	1127
549	1375	1125
550	1377	1122
551	1379	1119
552	1383	1118
553	1385	1115
554	1386	1111
555	1388	1108
556	1393	1108
557	1396	1105
558	1397	1102
559	1399	1099
560	1400	1096
561	1402	1093
562	1406	1091
563	1408	1089
564	1410	1085
565	1411	1082
566	1412	1079
567	1415	1076
568	1422	1077
569	1424	1074
570	1425	1071
571	1427	1067
572	1431	1067
573	1435	1065
574	1437	1062
575	1439	1059
576	1442	1057
577	1444	1054
578	1446	1051
579	1447	1048
580	1450	1045
581	1452	1043
582	1456	1042
583	1458	1039
584	1460	1036
585	1462	1033
586	1463	1029
587	1467	1028
588	1469	1025
589	1471	1022
590	1473	1019
591	1479	1019
592	1482	1017
593	1484	1014
594	1488	1013
595	1493	1012
596	1495	1009
597	1496	1006
598	1499	1003
599	1504	1002
600	1505	999
601	1507	996
602	1509	993
603	1512	991
604	1516	990
605	1518	986
606	1520	984
607	1521	981
608	1524	979
609	1529	978
610	1531	974
611	1532	971
612	1534	969
613	1538	967
614	1542	965
615	1543	962
616	1545	959
617	1547	956
618	1550	954
619	1554	952
620	1556	949
621	1566	952
622	1568	949
623	1569	946
624	1572	943
625	1575	941
626	1576	938
627	1578	934
628	1580	932
629	1583	930
630	1587	928
631	1589	925
632	1591	922
633	1592	919
634	1595	917
635	1598	914
636	1600	911
637	1602	908
638	1603	906
639	1605	903
640	1609	901
641	1611	898
642	1612	895
643	1614	892
644	1616	889
645	1618	887
646	1622	885
647	1624	882
648	1625	879
649	1627	876
650	1630	873
651	1633	872
652	1636	869
653	1637	866
654	1639	863
655	1641	860
656	1645	859
657	1647	856
658	1648	853
659	1650	850
660	1652	847
661	1654	844
662	1659	843
663	1661	840
664	1663	837
665	1664	834
666	1669	833
667	1671	830
668	1672	827
669	1675	825
670	1678	822
671	1681	820
672	1683	817
673	1684	814
674	1686	812
675	1688	809
676	1694	808
677	1696	805
678	1697	802
679	1700	800
680	1704	798
681	1706	795
682	1708	792
683	1710	790
684	1716	789
685	1718	786
686	1720	783
687	1722	781
688	1726	779
689	1729	776
690	1731	774
691	1733	771
692	1736	769
693	1740	767
694	1743	765
695	1744	762
696	1746	759
697	1749	756
698	1756	756
699	1757	753
700	1759	750
701	1761	747
702	1763	745
703	1766	742
704	1768	739
705	1769	736
706	1771	734
707	1774	731
708	1777	729
709	1780	727
710	1781	724
711	1783	721
712	1790	720
713	1792	717
714	1794	715
715	1796	712
716	1799	710
717	1801	707
718	1803	704
719	1804	701
720	1805	698
721	1806	695
722	1807	692
723	1809	689
724	1810	686
725	1813	684
726	1814	681
727	1816	678
728	1817	675
729	1818	672
730	1819	669
731	1820	666
732	1822	663
733	1862	674
734	1864	672
735	1869	670
736	1871	667
737	1873	665
738	1875	662
739	1876	659
740	1878	656
741	1898	660
742	1901	657
743	1904	655
744	1907	652
745	1908	649
746	1909	646
747	1911	643
748	1912	640
749	1913	637
750	1914	634
751	1916	631
752	1918	629
753	1919	626
754	1921	623
755	1922	620
756	1923	617
757	1925	614
758	1927	611
759	1928	609
760	1931	606
761	1932	603
762	1934	600
763	1935	597
764	1936	594
765	1938	592
766	1940	589
767	1943	586
768	1944	584
769	1945	581
770	1948	578
771	1949	575
772	1956	574
